"author_name_top","employee_sec_min","employee_sec_max"
"Adil Allawi",,
"Andreas Gal",,
"Artur Adib",,
"Brendan Dahl",1496265499,1619636428
"Calixte Denizet",1471869279,1663858729
"Chris Jones",,
"Fabian Lange",,
"Haebaru",,
"Jakob Miland",,
"Jani Pehkonen",,
"Jon Buckley",,
"Jonas",,
"Jonas Jenwald",,
"Julian Viereck",,
"Justin D'Arcangelo",,
"Kalervo Kujala",,
"Mukul Mishra",,
"Nicholas Nethercote",1257306329,1606180573
"Rob Sayre",,
"Rob Wu",,
"Tim van der Meij",,
"Vivien Nicolas",,
"Wojciech Maj",,
"Xavier Fung",,
"Yury Delendik",1333550913,1632163296
"fkaelberer",,
"gigaherz",,
"mduan",,
"p01",,
"sbarman",,
"vyv03354",,
